CUSTOMER_NUMBER,DEPOSIT_REF
LPOI01,DB04-018
LPOI01,DB05-119
LPOI01,DB07-122
LPUE01,DB03-064
LPUE01,DB07-131
LPUE01,DB09-103
LPUE01,DB11-014
LPUE01,DB11-082
LSEE01,DB03-058
LSEE01,DB10-070
LSEE01,DB11-036
LSEO01,DD09-010
LSOE01,DB05-160
LSOE01,DB05-177
LSOE01,DB06-174
LSOE01,DB07-022
LSOE01,DB07-170
LSOE01,DB08-163
LSOE01,DB09-034
LSOE01,DB09-035
LSOE01,DB10-064
LSOO01,DB03-127
LSOO01,DB07-123
LSOO01,DB11-027
LSOO01,DB11-063
LSOW01,DB04-108
LSOW02,DD05-018
LSUL01,DD04-001
LTIL01,DB06-061
LTIL01,DB07-146
LTIL01,DB08-023
LTIL01,DB08-098
LTIL01,DB08-132
LTIL01,DB09-112
LTIL01,DB09-138
LTIL01,DB10-022
LTIL01,DB11-041
LTIL01,DB11-071
LTIL01,DB12-077
LTIL01,DD09-013
LTIL01,DD09-018
